epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.857,3.8654,6.19807,4.42558,0.00011,0.05263,7e-05,1e-05,4.11452,6.12591,4.15887,2e-05,2e-05,2e-05
2,82.5632,4.3838,6.09601,4.40993,0.00011,0.05263,7e-05,3e-05,4.11489,6.1271,4.1588,5.703e-05,5.703e-05,5.703e-05
3,117.856,4.30997,5.90071,4.4782,0.00012,0.05263,7e-05,3e-05,4.11533,6.12809,4.15871,9.01e-05,9.01e-05,9.01e-05
4,155.24,4.05618,6.65537,4.65526,0.00012,0.05263,7e-05,3e-05,4.11595,6.12866,4.15867,0.00011921,0.00011921,0.00011921
5,188.397,4.14139,5.51703,4.38656,0.00012,0.05263,7e-05,1e-05,4.11694,6.12892,4.15862,0.00014436,0.00014436,0.00014436
6,222.521,3.96917,6.23536,4.41431,0.00012,0.05263,7e-05,3e-05,4.11846,6.12939,4.1588,0.00016555,0.00016555,0.00016555
7,254.447,3.79776,5.77637,4.37857,0.00012,0.05263,7e-05,3e-05,4.12045,6.13143,4.15912,0.00018278,0.00018278,0.00018278
8,286.553,3.31348,5.24249,4.27228,0.00012,0.05263,7e-05,3e-05,4.12287,6.13309,4.15959,0.00019605,0.00019605,0.00019605
9,320.366,3.31576,5.04623,4.39001,0.00012,0.05263,7e-05,1e-05,4.12417,6.13344,4.15989,0.00020536,0.00020536,0.00020536
10,351.953,3.50468,5.27192,4.20865,0.00012,0.05263,8e-05,2e-05,4.12686,6.13545,4.16051,0.00021071,0.00021071,0.00021071
11,383.543,3.10588,6.64758,4.48895,0.00012,0.05263,7e-05,3e-05,4.12983,6.13646,4.16131,0.0002121,0.0002121,0.0002121
12,415.279,3.52918,6.51629,4.31345,0.00012,0.05263,7e-05,3e-05,4.13267,6.1368,4.16212,0.00020953,0.00020953,0.00020953
13,447.847,3.07046,6.30599,4.22621,0.00013,0.05263,7e-05,3e-05,4.13575,6.1366,4.16306,0.000203,0.000203,0.000203
14,479.23,3.2045,6.49584,4.34764,0.00012,0.05263,7e-05,3e-05,4.13882,6.13621,4.16407,0.00019251,0.00019251,0.00019251
15,515.223,3.07902,6.51811,4.14726,0.00012,0.05263,7e-05,3e-05,4.14193,6.1351,4.16518,0.00017806,0.00017806,0.00017806
16,546.797,3.05535,6.35568,4.32292,0.00012,0.05263,7e-05,3e-05,4.1449,6.13255,4.16623,0.00015965,0.00015965,0.00015965
17,582.109,3.05641,6.28774,4.37711,0.00012,0.05263,7e-05,3e-05,4.14796,6.13058,4.16743,0.00013728,0.00013728,0.00013728
18,616.673,3.25112,5.92313,4.16032,0.00012,0.05263,7e-05,2e-05,4.1513,6.12938,4.16853,0.00011095,0.00011095,0.00011095
19,652.457,3.29872,6.1764,4.22192,0.00012,0.05263,7e-05,3e-05,4.15421,6.12759,4.16961,8.066e-05,8.066e-05,8.066e-05
20,686.784,2.98111,5.74414,4.11836,0.00012,0.05263,7e-05,1e-05,4.15703,6.12532,4.17099,4.641e-05,4.641e-05,4.641e-05
